pub_year,source,title_p1_count,title_p2_count,title_p3_count,abstract_p1_count,abstract_p2_count,abstract_p3_count,total_p1_count,total_p2_count,total_p3_count,total_papers,title_p1_pct,abstract_p1_pct,total_p1_pct,title_p2_pct,abstract_p2_pct,total_p2_pct,title_p3_pct,abstract_p3_pct,total_p3_pct
2010.0,OpenAlex,6376,4252,34336,44850,30928,331327,51226,35180,365663,573854,1.1110840039452543,7.815576784338873,8.926660788284128,0.7409550164327512,5.389524164683003,6.130479181115754,5.9834034440815955,57.737159625967585,63.720563070049174
2011.0,OpenAlex,6594,4440,39007,50632,32628,364138,57226,37068,403145,619970,1.0635998516057228,8.16684678290885,9.230446634514573,0.7161636853396133,5.262835298482185,5.978998983821797,6.291756052712227,58.734777489233345,65.02653354194557
2012.0,OpenAlex,7354,4917,42997,55749,36439,405336,63103,41356,448333,692581,1.0618252594281392,8.049455587144319,9.111280846572459,0.7099530596421213,5.261334053345386,5.971287112987507,6.208226907755194,58.5254287946103,64.7336557023655
2013.0,OpenAlex,7969,5364,49315,61156,39255,467563,69125,44619,516878,784674,1.0155809928709247,7.793809913416272,8.809390906287197,0.68359599018191,5.002714503093005,5.686310493274914,6.284775588333499,59.58691125231624,65.87168684064974
2014.0,OpenAlex,8300,5686,55016,67441,42534,529373,75741,48220,584389,888680,0.9339694828284647,7.588895890534275,8.52286537336274,0.6398253589593554,4.786199756942882,5.426025115902236,6.190754827384436,59.56846108835576,65.7592159157402
2015.0,OpenAlex,8262,5651,56131,68356,42635,553663,76618,48286,609794,928991,0.8893519958750946,7.35809065965117,8.247442655526264,0.6082943752953474,4.589387841216976,5.197682216512323,6.042146802283337,59.5983168835866,65.64046368586995
2016.0,OpenAlex,7949,5960,60210,68407,45499,601677,76356,51459,661887,979492,0.8115431264369694,6.983926361828377,7.795469488265345,0.60847868078555,4.6451630028627084,5.253641683648259,6.147063988271471,61.42745423137708,67.57451821964855
2017.0,OpenAlex,7962,5999,63314,70469,45884,642862,78431,51883,706176,1041211,0.7646865044645129,6.767984587177815,7.532671091642327,0.5761560336953797,4.406791706964294,4.982947740659674,6.080803986896028,61.74176031563247,67.8225643025285
2018.0,OpenAlex,8139,6387,69715,78378,50301,723127,86517,56688,792842,1155932,0.7041071620129904,6.780502659325981,7.484609821338971,0.5525411529397923,4.351553551593,4.904094704532793,6.031064111037673,62.55791863189184,68.58898274292952
2019.0,OpenAlex,8530,6916,75838,82760,54095,798653,91290,61011,874491,1250560,0.6820944216990787,6.617835209825998,7.299929631525076,0.553032241555783,4.325662103377686,4.87869434493347,6.06432318321392,63.863629094165816,69.92795227737973
2020.0,OpenAlex,9228,7590,83419,91641,60826,905985,100869,68416,989404,1408534,0.6551492544730905,6.506126227694894,7.161275482167985,0.5388581319300777,4.318390610379303,4.85724874230938,5.922398749337964,64.3211310483098,70.24352979764777
2021.0,OpenAlex,9474,8111,90393,92610,64528,989426,102084,72639,1079819,1499301,0.631894462819674,6.176878425346211,6.808772888165886,0.5409854325448993,4.30387227114502,4.844857703689919,6.029009518435591,65.99248583173092,72.0214953501665
2022.0,OpenAlex,9930,8396,93875,97423,68260,1049425,107353,76656,1143300,1536945,0.6460868801421,6.3387434163226395,6.98483029646474,0.5462784940254857,4.441277989778424,4.9875564838039095,6.107895858342361,68.27993194291273,74.38782780125509
2023.0,OpenAlex,9794,8817,100603,103147,72214,1161137,112941,81031,1261740,1702457,0.5752861893134452,6.058713964581778,6.634000153895222,0.5178985431056408,4.2417517740536175,4.759650317159259,5.909282877629215,68.20360220551825,74.11288508314748
2024.0,OpenAlex,9252,8265,95624,103203,69147,1124665,112455,77412,1220289,1690890,0.5471674680198002,6.1034721359757285,6.650639603995528,0.48879584124336894,4.089384880151873,4.578180721395242,5.655246645257823,66.5131971920113,72.16844383726912
2025.0,OpenAlex,5400,4802,60114,64663,45726,733338,70063,50528,793452,1079802,0.5000916834753037,5.988412690474735,6.48850437395004,0.44471116000896466,4.234665244183656,4.679376404192621,5.5671317519322985,67.91411758822451,73.48124934015681
2010.0,PubMed,11703,2963,22054,66660,22185,219912,78363,25148,241966,436702,2.679859492285357,15.264413719195241,17.944273211480596,0.6784947172213546,5.0801232877339695,5.758618004955324,5.0501257150184795,50.3574519924342,55.40757770745268
2011.0,PubMed,17467,4290,31771,97427,31570,308568,114894,35860,340339,602347,2.899823523649989,16.17456383114716,19.07438735479715,0.7122140560175447,5.24116497633424,5.953379032351784,5.274534446091705,51.227614647371034,56.50214909346274
2012.0,PubMed,18289,4597,35071,102588,34052,336442,120877,38649,371513,648277,2.8211705798601527,15.824716903422456,18.645887483282607,0.709110457412495,5.2526929075071305,5.961803364919625,5.409878801808486,51.89787698776912,57.307755789577605
2013.0,PubMed,18391,4901,38311,111862,37089,374183,130253,41990,412494,715113,2.5717613859627777,15.642562783783823,18.214324169746597,0.6853462319941045,5.1864530500774,5.871799282071505,5.357335134447283,52.325017165119355,57.682352299566645
2014.0,PubMed,18719,5144,41121,117278,37859,398378,135997,43003,439499,766101,2.4434115084042443,15.308425390385864,17.751836898790106,0.6714519364940132,4.94177660647878,5.613228542972793,5.36756902810465,52.00071531038336,57.36828433848801
2015.0,PubMed,18903,5408,42085,122293,40586,416259,141196,45994,458344,794738,2.378519713414987,15.387838507784956,17.766358221199944,0.6804758297703143,5.106840241689714,5.787316071460028,5.295455860925236,52.37688395420881,57.672339815134045
2016.0,PubMed,19547,5790,46409,122382,41668,432341,141929,47458,478750,855843,2.2839469388661238,14.299585321139507,16.583532260005633,0.6765259516056099,4.868649974352772,5.545175925958382,5.422606716418783,50.516391440953534,55.938998157372325
2017.0,PubMed,18558,5935,47057,102005,36087,387653,120563,42022,434710,880492,2.107685248701862,11.585000204431159,13.692685453133022,0.6740549601813531,4.0985040182080015,4.772558978389355,5.344398359099231,44.026862254285106,49.37126061338433
2018.0,PubMed,19388,6194,49969,110523,38903,416673,129911,45097,466642,939807,2.0629767601220252,11.7601805477082,13.823157307830225,0.659071490210224,4.13946693310435,4.798538423314574,5.316942733986871,44.33601792708503,49.6529606610719
2019.0,PubMed,19464,6581,52878,114067,41076,434888,133531,47657,487766,1005363,1.9360171400777628,11.345852194679932,13.281869334757696,0.6545894368501726,4.085688452827487,4.740277889677659,5.259592803793256,43.25681370808355,48.5164065118768
2020.0,PubMed,20889,7181,58789,123281,44870,485136,144170,52051,543925,1152377,1.8126880352523522,10.697974707929783,12.510662743182136,0.6231467653380794,3.893691040345304,4.516837805683383,5.101542290413641,42.098722900578544,47.200265190992184
2021.0,PubMed,21749,7578,66791,129788,48969,556201,151537,56547,622992,1300770,1.6720096558192454,9.977782390430285,11.64979204624953,0.5825780114855047,3.764616342627828,4.347194354113333,5.134727891940927,42.75936560652537,47.8940934984663
2022.0,PubMed,20322,7491,70156,128625,50295,593564,148947,57786,663720,1343885,1.5121829620838092,9.571131458420922,11.083314420504731,0.5574137668029631,3.7425077294560176,4.299921496258981,5.220387161103815,44.167767331282064,49.38815449238588
2023.0,PubMed,19670,7412,67661,126411,51344,577694,146081,58756,645355,1304896,1.5073998234342048,9.687438692432195,11.194838515866397,0.568014615724165,3.93471970179999,4.502734317524156,5.185164181666585,44.271267595271965,49.456431776938544
2024.0,PubMed,20170,7605,69569,135064,55468,616699,155234,63073,686268,1371170,1.4710065126862462,9.85027385371617,11.321280366402416,0.5546358219622658,4.045304375095721,4.599940197057987,5.07369618646849,44.976115288403335,50.04981147487182
2025.0,PubMed,17071,6953,61605,124823,54710,560031,141894,61663,621636,1256444,1.3586757547491173,9.93462502109127,11.293300775840386,0.5533871784178204,4.3543524422895095,4.90773962070733,4.9031234181547285,44.57269882302753,49.47582224118226
