pub_year,source,n_papers,t3_total,t3_metaphor,t3_literal,t3_uncertain
1998.0,pubmed,2.0,2.0,2.0,0.0,0.0
2006.0,pubmed,4.0,4.0,4.0,0.0,0.0
2007.0,pubmed,3.0,4.0,4.0,0.0,0.0
2008.0,pubmed,3.0,4.0,2.0,2.0,0.0
2009.0,pubmed,3.0,3.0,3.0,0.0,0.0
2010.0,openalex,76441.0,160934.0,119958.0,40894.0,82.0
2010.0,pubmed,81423.0,150284.0,92954.0,57264.0,66.0
2011.0,openalex,74511.0,152689.0,111428.0,41178.0,83.0
2011.0,pubmed,109824.0,203527.0,126310.0,77132.0,85.0
2012.0,openalex,94485.0,191967.0,144210.0,47639.0,118.0
2012.0,pubmed,117767.0,217357.0,135916.0,81313.0,128.0
2013.0,openalex,112622.0,231676.0,171328.0,60181.0,167.0
2013.0,pubmed,131247.0,245131.0,155530.0,89418.0,183.0
2014.0,openalex,131632.0,273322.0,205345.0,67810.0,167.0
2014.0,pubmed,141890.0,264026.0,168375.0,95417.0,234.0
2015.0,openalex,119382.0,244423.0,184694.0,59534.0,195.0
2015.0,pubmed,147704.0,275313.0,176061.0,99027.0,225.0
2016.0,openalex,141053.0,292738.0,218329.0,74163.0,246.0
2016.0,pubmed,153869.0,284380.0,184455.0,99616.0,309.0
2017.0,openalex,159072.0,326173.0,247659.0,78229.0,285.0
2017.0,pubmed,142221.0,260061.0,171126.0,88587.0,348.0
2018.0,openalex,152786.0,315475.0,239274.0,75917.0,284.0
2018.0,pubmed,153483.0,280273.0,186449.0,93388.0,436.0
2019.0,openalex,150064.0,312886.0,238642.0,73949.0,295.0
2019.0,pubmed,164041.0,297879.0,199741.0,97680.0,458.0
2020.0,openalex,18323.0,39145.0,30694.0,8415.0,36.0
2020.0,pubmed,187626.0,336574.0,231260.0,104684.0,630.0
2021.0,openalex,64661.0,136718.0,105112.0,31467.0,139.0
2021.0,pubmed,212358.0,380816.0,265562.0,114567.0,687.0
2022.0,openalex,25901.0,55206.0,42791.0,12353.0,62.0
2022.0,pubmed,221429.0,403802.0,283685.0,119417.0,700.0
2023.0,openalex,8578.0,19704.0,15779.0,3912.0,13.0
2023.0,pubmed,210401.0,384771.0,270337.0,113686.0,748.0
2024.0,openalex,5879.0,12511.0,9580.0,2912.0,19.0
2024.0,pubmed,218493.0,397968.0,276629.0,120493.0,846.0
2025.0,openalex,11438.0,24093.0,17524.0,6518.0,51.0
2025.0,pubmed,190626.0,350356.0,239965.0,109518.0,873.0
2026.0,pubmed,281.0,496.0,363.0,133.0,0.0
