pub_year,source,tone_sum,n_papers,mean_tone
1998.0,pubmed,6.0,7.0,0.8571428571428571
2006.0,pubmed,20.0,37.0,0.5405405405405406
2007.0,pubmed,34.0,47.0,0.723404255319149
2008.0,pubmed,46.0,69.0,0.6666666666666666
2009.0,pubmed,52.0,66.0,0.7878787878787878
2010.0,openalex,508536.0,325259.0,1.5634801804100733
2010.0,pubmed,698859.0,326130.0,2.142884739214424
2011.0,openalex,506579.0,317495.0,1.5955495362131686
2011.0,pubmed,946756.0,441152.0,2.146099303641375
2012.0,openalex,603402.0,379806.0,1.5887110788139207
2012.0,pubmed,1001751.0,464127.0,2.158355363941335
2013.0,openalex,742170.0,466060.0,1.5924344504999357
2013.0,pubmed,1111434.0,499954.0,2.2230725226720858
2014.0,openalex,850731.0,546470.0,1.5567753033103373
2014.0,pubmed,1182946.0,529675.0,2.2333430877424836
2015.0,openalex,785069.0,475603.0,1.6506813455760372
2015.0,pubmed,1233666.0,545638.0,2.26096056359711
2016.0,openalex,907967.0,538423.0,1.6863451227009247
2016.0,pubmed,1246969.0,565155.0,2.206419477842362
2017.0,openalex,1058476.0,625741.0,1.6915560910983938
2017.0,pubmed,1086533.0,545966.0,1.9901111058197762
2018.0,openalex,1485856.0,842817.0,1.7629639648939213
2018.0,pubmed,1157024.0,582349.0,1.9868223350602474
2019.0,openalex,1496397.0,833448.0,1.7954293489215885
2019.0,pubmed,1208517.0,612935.0,1.9716886782448384
2020.0,openalex,1339812.0,722454.0,1.8545291464923719
2020.0,pubmed,1361606.0,695788.0,1.9569265350940228
2021.0,openalex,1376130.0,732702.0,1.8781578322428492
2021.0,pubmed,1527038.0,772088.0,1.977803048357182
2022.0,openalex,1643819.0,836110.0,1.966031981437849
2022.0,pubmed,1579641.0,791642.0,1.995398172406214
2023.0,openalex,1402700.0,705757.0,1.9875112822118661
2023.0,pubmed,1492745.0,740133.0,2.016860483183428
2024.0,openalex,2050022.0,974476.0,2.103717279850915
2024.0,pubmed,1562935.0,741710.0,2.107204972293754
2025.0,openalex,1520377.0,683059.0,2.2258355427569216
2025.0,pubmed,1487702.0,673908.0,2.207574327653033
2026.0,pubmed,2323.0,959.0,2.4223149113660063
