pub_year,title_t1_count,title_t2_count,title_t3_count,abstract_t1_count,abstract_t2_count,abstract_t3_count,total_t1_count,total_t2_count,total_t3_count,total_papers,source,title_t1_pct,title_t2_pct,title_t3_pct,abstract_t1_pct,abstract_t2_pct,abstract_t3_pct,total_t1_pct,total_t2_pct,total_t3_pct
2010,2820,1267,13205,21809,7175,80207,22368,7461,82181,325259,OpenAlex,0.8670013742894124,0.38953572383854096,4.059841541663721,6.70511807513397,2.205934347704445,24.659425258025145,6.876981113512616,2.293864274316775,25.26632622002773
2011,2597,1319,13195,20696,7211,78531,21155,7506,80459,317495,OpenAlex,0.8179656372541301,0.4154396132222554,4.155970960172601,6.518527850832297,2.271216869557001,24.73456274901967,6.663097056646561,2.364131718609742,25.341816406557584
2012,3288,1567,15648,25194,9083,99659,25766,9419,101888,379806,OpenAlex,0.8657051231418146,0.4125790535167954,4.119998104295351,6.633386518380437,2.3914840734480234,26.23944856058093,6.783989721068124,2.4799502904114203,26.826327124900608
2013,3825,2031,20308,30182,10771,119137,30909,11219,122108,466060,OpenAlex,0.8207097798566707,0.4357808007552676,4.357378878256019,6.475990215852036,2.3110758271467193,25.562588507917432,6.631978715186886,2.4072007895979057,26.200060078101533
2014,4518,4504,23474,34391,14279,139518,35204,14787,142891,546471,OpenAlex,0.8267593339811261,0.8241974414012819,4.2955618870900745,6.293289122387098,2.6129474391138783,25.53072349676378,6.442061884345189,2.7059075412967935,26.147956616179087
2015,4240,2235,21772,31315,11557,126819,32123,12070,129973,475603,OpenAlex,0.8914998433567493,0.46992975233545625,4.5777675918781,6.5842730176218405,2.429967851338196,26.66488647043858,6.754162610412466,2.537830922008482,27.32804460863367
2016,4564,2692,25281,34887,13783,149657,35722,14319,153062,538423,OpenAlex,0.8476606682849729,0.49997864132847225,4.695378912119281,6.479478031213377,2.5598832144986376,27.795432215934312,6.634560559262885,2.659433196575926,28.427834620735
2017,5361,3131,29620,40905,15187,169080,41828,15881,173313,625741,OpenAlex,0.8567442440242848,0.5003667651632224,4.733587858235276,6.537049673906617,2.4270424984138805,27.02076418198584,6.684554791838796,2.5379510052881304,27.697242149707307
2018,7122,4345,41178,55428,21131,237969,56689,22054,243657,842817,OpenAlex,0.8450232968722748,0.5155330279289573,4.885758118310381,6.576516610367375,2.5071872067127265,28.234954919039364,6.726133905699576,2.6167008971105234,28.909834519237272
2019,7920,4610,46191,61059,23313,263169,62450,24147,269419,917713,OpenAlex,0.8630149077107985,0.5023356975437855,5.033272929554229,6.6533872790295,2.540336684780536,28.676612404967567,6.804959720522646,2.6312147697591732,29.357653209663585
2020,8732,5366,54330,70131,28101,307448,71689,29168,314437,1036042,OpenAlex,0.8428229743581823,0.5179326706832349,5.243995899780125,6.769127120329099,2.7123417776499408,29.675244825981956,6.919507124228555,2.815329880448862,30.34983137749242
2021,6538,4278,44730,54389,22215,252358,55557,23066,257869,835755,OpenAlex,0.7822866749226748,0.5118724985193029,5.352046951558771,6.507768424957075,2.65807563221279,30.195212711859337,6.647522300195631,2.759899731380608,30.854616484496056
2022,9348,5670,66739,78269,32878,376072,79741,33909,383712,1172577,OpenAlex,0.7972184342691355,0.4835503340079159,5.691651806235326,6.6749561009639455,2.803909679279058,32.0722647638492,6.800491566865119,2.8918356747573934,32.72382112219496
2023,11606,6769,80140,87996,39761,451740,89808,40981,460734,1316474,OpenAlex,0.881597357790583,0.514176504815135,6.087473053018898,6.684218602114436,3.020264737472977,34.31438828263984,6.821858996075882,3.112936525901765,34.99757686061403
2024,10480,6439,81403,73652,37642,437066,75154,38835,445758,1202592,OpenAlex,0.871450999175115,0.5354268114206647,6.768962374604189,6.124437880844043,3.1300723769990157,36.343664351667066,6.249334770229638,3.2292747665043504,37.06643649716612
2025,7065,4771,65575,48778,28345,361389,49748,29308,367588,877366,OpenAlex,0.8052511722587837,0.5437867435027115,7.474075813286587,5.559595425398294,3.230692778156436,41.190221640683596,5.670153618900208,3.3404531290248314,41.89676828142417
2010,1100,1519,13804,12464,7691,85073,12758,8028,87493,326130,PubMed,0.33728881121025356,0.4657651856621593,4.232667954496673,3.821788857204182,2.358262042743691,26.085610032809004,3.9119369576549228,2.461595069450832,26.82764541747156
2011,1373,2042,18802,16759,10060,114797,17131,10446,117914,441152,PubMed,0.3112305962570724,0.4628790076889598,4.262023066879443,3.798917379950675,2.2803931524735237,26.022096692296532,3.883242057159437,2.3678913390396055,26.728655882779634
2012,1405,2179,19749,17782,10949,123565,18179,11384,126950,464127,PubMed,0.30271886789607155,0.4694835680751174,4.25508535379325,3.8312789387387505,2.3590525868997063,26.62310100468191,3.916815871517925,2.4527769338995578,27.35242724512903
2013,1475,2639,22113,18994,12482,138107,19381,12987,141740,499954,PubMed,0.2950271424971097,0.5278485620677102,4.423006916636331,3.799149521756002,2.4966296899314737,27.62394140260904,3.8765566432111758,2.5976389827864166,28.350608255959546
2014,1622,2885,24267,19947,13792,149461,20403,14352,153476,529675,PubMed,0.30622551564638695,0.5446736206164158,4.581488648699674,3.7658941803936377,2.603860858073347,28.217491858214945,3.8519847076037195,2.709586066927833,28.975503846698448
2015,1591,3195,24866,20523,14607,155880,20996,15151,159957,545638,PubMed,0.291585263489713,0.5855530589878271,4.557233916992585,3.7612849544936386,2.6770496189781503,28.568391497659622,3.8479724652608507,2.7767494199450917,29.315590189832818
2016,1689,3427,26022,21190,15205,163116,21603,15837,167489,565155,PubMed,0.29885606603498155,0.6063823198945422,4.604400562677496,3.7494138776087973,2.6904123647494935,28.862170554980494,3.822491174987393,2.8022400934256972,29.63594058267201
2017,1743,3730,25509,19133,14759,150215,19603,15592,155379,545966,PubMed,0.31925064930783237,0.6831927262869849,4.672268969129946,3.5044306788334803,2.703281889348421,27.513618064128536,3.5905166255774166,2.8558554928328874,28.459464508778936
2018,1901,4123,28103,20194,16000,162429,20707,16908,168211,582349,PubMed,0.32643655265141697,0.7079946904691172,4.825800336224498,3.467680033794168,2.7474933416216047,27.892037249140976,3.5557715390599105,2.9034135887586308,28.884912655469485
2019,1813,4048,30165,20523,16690,174183,20984,17581,180677,612935,PubMed,0.2957899287852709,0.6604289198691542,4.921402758856975,3.3483158899393897,2.722964098966448,28.417858337344093,3.4235277802703385,2.868330247089822,29.477350779446432
2020,2173,4420,35284,23648,19717,201263,24254,20894,208803,695788,PubMed,0.31230777190753506,0.6352509672486447,5.071084870679,3.3987363967185407,2.8337654572944633,28.92590846637194,3.485831891323219,3.002926178663616,30.00957188109022
2021,2310,4650,40687,26585,21767,230631,27241,23062,239179,772088,PubMed,0.2991886935168012,0.6022629544818725,5.269736092258913,3.4432603537420605,2.8192382215498752,29.8710768720664,3.528224761944234,2.986965216400203,30.978204556993504
2022,2572,4573,43492,27513,21540,241533,28168,22770,250163,791642,PubMed,0.3248943335497611,0.57766010393587,5.493897494069289,3.475434603014999,2.7209268836165843,30.51038221822491,3.5581740231064045,2.876300145772963,31.600521447826164
2023,2336,4077,41134,24191,19726,231272,24830,20925,239494,740133,PubMed,0.3156189495671724,0.5508469423738707,5.557649773756879,3.2684666134329907,2.6651966606001896,31.24735689396365,3.354802447668189,2.827194571786422,32.358238316626874
2024,2186,4004,43349,21575,20282,246539,22164,21364,255129,741710,PubMed,0.2947243531838589,0.539833627698157,5.844467514257594,2.908818810586348,2.7344919173261784,33.239271413355624,2.9882299011743134,2.880371034501355,34.397405994256516
2025,2004,3569,43150,17689,18633,249479,18159,19718,257452,673908,PubMed,0.29736996741394967,0.5295975118265401,6.402951144666631,2.624838998795088,2.764917466479104,37.01974156709818,2.694581456222511,2.925918671391347,38.202840743840405
